,parti,abstention,contre,pour,vote_uid
0,La République en Marche,0.0,31.0,0.0,VTANR5L15V2358
1,Parti socialiste,0.0,0.0,9.0,VTANR5L15V2358
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V2949
1,La France Insoumise,0.0,0.0,5.0,VTANR5L15V2949
2,La République en Marche,0.0,10.0,52.0,VTANR5L15V2949
3,Les Républicains,0.0,22.0,2.0,VTANR5L15V2949
4,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V2949
5,Non rattaché,0.0,0.0,1.0,VTANR5L15V2949
6,Non rattachée,0.0,1.0,0.0,VTANR5L15V2949
7,Parti communiste français,0.0,0.0,5.0,VTANR5L15V2949
8,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2949
9,Rassemblement national,0.0,3.0,0.0,VTANR5L15V2949
10,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2949
11,"Union des démocrates, radicaux et libéraux",0.0,4.0,0.0,VTANR5L15V2949
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V1137
1,La France Insoumise,0.0,0.0,4.0,VTANR5L15V1137
2,La République en Marche,0.0,19.0,0.0,VTANR5L15V1137
3,Les Républicains,0.0,1.0,0.0,VTANR5L15V1137
4,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V1137
5,Rassemblement national,0.0,0.0,1.0,VTANR5L15V1137
6,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V1137
0,La République en Marche,0.0,39.0,0.0,VTANR5L15V2246
1,Les Républicains,0.0,0.0,8.0,VTANR5L15V2246
2,Mouvement Démocrate,0.0,2.0,2.0,VTANR5L15V2246
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2246
4,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2246
5,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2246
6,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2246
0,La France Insoumise,3.0,0.0,0.0,VTANR5L15V1801
1,La République en Marche,0.0,0.0,34.0,VTANR5L15V1801
2,Les Républicains,0.0,0.0,4.0,VTANR5L15V1801
3,Mouvement Démocrate,0.0,0.0,6.0,VTANR5L15V1801
4,Parti communiste français,2.0,0.0,0.0,VTANR5L15V1801
5,Régions et peuples solidaires,2.0,0.0,0.0,VTANR5L15V1801
6,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1801
0,Debout la France,0.0,1.0,0.0,VTANR5L15V993
1,La France Insoumise,0.0,0.0,4.0,VTANR5L15V993
2,La République en Marche,6.0,63.0,55.0,VTANR5L15V993
3,Les Républicains,0.0,12.0,0.0,VTANR5L15V993
4,Mouvement Démocrate,0.0,7.0,4.0,VTANR5L15V993
5,Parti communiste français,0.0,0.0,3.0,VTANR5L15V993
6,Parti radical de gauche,0.0,0.0,3.0,VTANR5L15V993
7,Parti socialiste,0.0,0.0,6.0,VTANR5L15V993
8,Rassemblement national,0.0,1.0,0.0,VTANR5L15V993
9,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V993
0,La République en Marche,0.0,0.0,39.0,VTANR5L15V2208
1,Les Républicains,8.0,0.0,0.0,VTANR5L15V2208
2,Mouvement Démocrate,0.0,0.0,1.0,VTANR5L15V2208
3,Parti communiste français,0.0,2.0,0.0,VTANR5L15V2208
4,Parti socialiste,0.0,1.0,0.0,VTANR5L15V2208
0,La France Insoumise,0.0,0.0,6.0,VTANR5L15V3131
1,La République en Marche,0.0,136.0,2.0,VTANR5L15V3131
2,Les Républicains,0.0,0.0,13.0,VTANR5L15V3131
3,Mouvement Démocrate,0.0,26.0,0.0,VTANR5L15V3131
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V3131
5,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V3131
6,Parti socialiste,0.0,0.0,9.0,VTANR5L15V3131
7,Tapura Huiraatira,0.0,1.0,0.0,VTANR5L15V3131
8,"Union des démocrates, radicaux et libéraux",2.0,0.0,0.0,VTANR5L15V3131
0,La France Insoumise,0.0,0.0,5.0,VTANR5L15V2988
1,La République en Marche,0.0,35.0,2.0,VTANR5L15V2988
2,Les Républicains,0.0,6.0,0.0,VTANR5L15V2988
3,Mouvement Démocrate,0.0,11.0,0.0,VTANR5L15V2988
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2988
5,Parti socialiste,0.0,0.0,6.0,VTANR5L15V2988
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V259
1,La République en Marche,0.0,23.0,0.0,VTANR5L15V259
2,Mouvement Démocrate,0.0,2.0,0.0,VTANR5L15V259
3,Parti communiste français,0.0,0.0,2.0,VTANR5L15V259
0,La France Insoumise,0.0,0.0,8.0,VTANR5L15V3218
1,La République en Marche,0.0,103.0,5.0,VTANR5L15V3218
2,Les Républicains,2.0,21.0,0.0,VTANR5L15V3218
3,Mouvement Démocrate,2.0,9.0,0.0,VTANR5L15V3218
4,Non rattaché,0.0,0.0,1.0,VTANR5L15V3218
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V3218
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V3218
7,Parti socialiste,0.0,0.0,1.0,VTANR5L15V3218
8,Rassemblement national,0.0,1.0,0.0,VTANR5L15V3218
9,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V3218
10,"Union des démocrates, radicaux et libéraux",2.0,0.0,0.0,VTANR5L15V3218
0,La République en Marche,2.0,22.0,3.0,VTANR5L15V681
1,Les Républicains,0.0,0.0,3.0,VTANR5L15V681
2,Mouvement Démocrate,2.0,0.0,0.0,VTANR5L15V681
3,Non rattaché,0.0,0.0,1.0,VTANR5L15V681
4,Parti socialiste,0.0,0.0,1.0,VTANR5L15V681
5,"Union des démocrates, radicaux et libéraux",1.0,0.0,0.0,VTANR5L15V681
0,La France Insoumise,0.0,0.0,10.0,VTANR5L15V120
1,La République en Marche,2.0,97.0,0.0,VTANR5L15V120
2,Les Républicains,0.0,16.0,0.0,VTANR5L15V120
3,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V120
4,Parti communiste français,0.0,0.0,5.0,VTANR5L15V120
5,Parti radical de gauche,0.0,1.0,0.0,VTANR5L15V120
6,Parti socialiste,0.0,4.0,0.0,VTANR5L15V120
7,Rassemblement national,0.0,2.0,0.0,VTANR5L15V120
8,Régions et peuples solidaires,0.0,1.0,3.0,VTANR5L15V120
9,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V120
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V1829
1,La République en Marche,0.0,29.0,0.0,VTANR5L15V1829
2,Les Républicains,0.0,8.0,0.0,VTANR5L15V1829
3,Mouvement Démocrate,0.0,2.0,1.0,VTANR5L15V1829
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V1829
5,Parti radical de gauche,1.0,0.0,0.0,VTANR5L15V1829
6,Régions et peuples solidaires,1.0,0.0,1.0,VTANR5L15V1829
0,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V2765
1,La France Insoumise,0.0,2.0,0.0,VTANR5L15V2765
2,La République en Marche,0.0,0.0,43.0,VTANR5L15V2765
3,Les Républicains,6.0,0.0,0.0,VTANR5L15V2765
4,Mouvement Démocrate,0.0,0.0,6.0,VTANR5L15V2765
5,Non rattachée,1.0,0.0,0.0,VTANR5L15V2765
6,Parti socialiste,2.0,0.0,0.0,VTANR5L15V2765
7,"Union des démocrates, radicaux et libéraux",1.0,0.0,0.0,VTANR5L15V2765
0,Europe Écologie Les Verts,0.0,1.0,0.0,VTANR5L15V358
1,La France Insoumise,0.0,2.0,0.0,VTANR5L15V358
2,La République en Marche,0.0,1.0,57.0,VTANR5L15V358
3,Les Républicains,0.0,6.0,0.0,VTANR5L15V358
4,Mouvement Démocrate,0.0,0.0,7.0,VTANR5L15V358
5,Non rattachée,0.0,0.0,1.0,VTANR5L15V358
6,Parti communiste français,0.0,5.0,0.0,VTANR5L15V358
7,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V358
8,Parti socialiste,0.0,18.0,0.0,VTANR5L15V358
9,Rassemblement national,0.0,3.0,0.0,VTANR5L15V358
10,Régions et peuples solidaires,0.0,2.0,0.0,VTANR5L15V358
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V1600
1,La République en Marche,0.0,90.0,0.0,VTANR5L15V1600
2,Les Républicains,0.0,0.0,31.0,VTANR5L15V1600
3,Mouvement Démocrate,0.0,8.0,1.0,VTANR5L15V1600
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V1600
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V1600
6,Parti communiste français,0.0,0.0,3.0,VTANR5L15V1600
7,Parti socialiste,0.0,0.0,7.0,VTANR5L15V1600
8,Rassemblement national,0.0,0.0,2.0,VTANR5L15V1600
9,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1600
10,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1600
0,La France Insoumise,0.0,4.0,0.0,VTANR5L15V2277
1,La République en Marche,5.0,3.0,39.0,VTANR5L15V2277
2,Les Républicains,0.0,0.0,4.0,VTANR5L15V2277
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V2277
4,Parti radical de gauche,0.0,2.0,0.0,VTANR5L15V2277
5,Parti socialiste,0.0,3.0,0.0,VTANR5L15V2277
6,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V2277
0,La République en Marche,0.0,0.0,33.0,VTANR5L15V2815
1,Les Républicains,6.0,0.0,0.0,VTANR5L15V2815
2,Mouvement Démocrate,0.0,0.0,3.0,VTANR5L15V2815
3,Parti communiste français,2.0,0.0,0.0,VTANR5L15V2815
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2815
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,5.0,VTANR5L15V2815
0,La France Insoumise,0.0,4.0,0.0,VTANR5L15V2899
1,La République en Marche,0.0,44.0,0.0,VTANR5L15V2899
2,Les Républicains,0.0,0.0,12.0,VTANR5L15V2899
3,Mouvement Démocrate,0.0,6.0,0.0,VTANR5L15V2899
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V2899
5,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2899
0,La République en Marche,0.0,19.0,0.0,VTANR5L15V1378
1,Les Républicains,0.0,0.0,2.0,VTANR5L15V1378
2,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1378
3,Parti socialiste,0.0,0.0,1.0,VTANR5L15V1378
0,La République en Marche,0.0,27.0,0.0,VTANR5L15V1809
1,Les Républicains,0.0,2.0,0.0,VTANR5L15V1809
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V1809
3,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1809
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1809
5,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V1809
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V946
1,La République en Marche,0.0,60.0,0.0,VTANR5L15V946
2,Les Républicains,0.0,0.0,11.0,VTANR5L15V946
3,Mouvement Démocrate,0.0,2.0,2.0,VTANR5L15V946
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V946
5,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V946
6,Parti socialiste,0.0,0.0,3.0,VTANR5L15V946
7,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V946
0,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V2404
1,La République en Marche,0.0,0.0,46.0,VTANR5L15V2404
2,Les Républicains,0.0,0.0,10.0,VTANR5L15V2404
3,Mouvement Démocrate,0.0,0.0,6.0,VTANR5L15V2404
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2404
5,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2404
6,Rassemblement national,0.0,0.0,1.0,VTANR5L15V2404
7,Régions et peuples solidaires,0.0,0.0,3.0,VTANR5L15V2404
8,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2404
0,Debout la France,0.0,1.0,0.0,VTANR5L15V2023
1,La République en Marche,0.0,0.0,27.0,VTANR5L15V2023
2,Les Républicains,0.0,5.0,0.0,VTANR5L15V2023
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V2023
4,Rassemblement national,0.0,2.0,0.0,VTANR5L15V2023
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V2023
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V3055
1,La République en Marche,0.0,54.0,0.0,VTANR5L15V3055
2,Les Républicains,2.0,3.0,0.0,VTANR5L15V3055
3,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V3055
4,Parti socialiste,0.0,0.0,5.0,VTANR5L15V3055
5,Rassemblement national,0.0,0.0,2.0,VTANR5L15V3055
6,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V3055
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V324
1,La République en Marche,0.0,40.0,0.0,VTANR5L15V324
2,Les Républicains,0.0,4.0,0.0,VTANR5L15V324
3,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V324
4,Non rattachée,0.0,1.0,0.0,VTANR5L15V324
5,Parti communiste français,0.0,0.0,2.0,VTANR5L15V324
6,Parti socialiste,0.0,0.0,1.0,VTANR5L15V324
7,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V324
8,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V324
0,La République en Marche,0.0,27.0,0.0,VTANR5L15V1808
1,Les Républicains,0.0,1.0,0.0,VTANR5L15V1808
2,Mouvement Démocrate,1.0,2.0,0.0,VTANR5L15V1808
3,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1808
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1808
5,"Union des démocrates, radicaux et libéraux",1.0,0.0,0.0,VTANR5L15V1808
0,La République en Marche,3.0,2.0,35.0,VTANR5L15V1819
1,Les Républicains,6.0,0.0,0.0,VTANR5L15V1819
2,Mouvement Démocrate,0.0,0.0,6.0,VTANR5L15V1819
3,Parti communiste français,0.0,3.0,0.0,VTANR5L15V1819
4,Parti socialiste,0.0,3.0,0.0,VTANR5L15V1819
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1819
0,La France Insoumise,0.0,6.0,0.0,VTANR5L15V521
1,La République en Marche,0.0,80.0,0.0,VTANR5L15V521
2,Les Républicains,0.0,2.0,16.0,VTANR5L15V521
3,Mouvement Démocrate,0.0,8.0,3.0,VTANR5L15V521
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V521
5,Parti progressiste martiniquais,0.0,1.0,0.0,VTANR5L15V521
6,Parti radical de gauche,0.0,2.0,0.0,VTANR5L15V521
7,Parti socialiste,0.0,6.0,0.0,VTANR5L15V521
8,Rassemblement national,0.0,1.0,0.0,VTANR5L15V521
9,"Union des démocrates, radicaux et libéraux",0.0,1.0,1.0,VTANR5L15V521
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V1674
1,La République en Marche,0.0,0.0,59.0,VTANR5L15V1674
2,Les Républicains,2.0,9.0,0.0,VTANR5L15V1674
3,Mouvement Démocrate,0.0,0.0,11.0,VTANR5L15V1674
4,Non rattachée,0.0,0.0,1.0,VTANR5L15V1674
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1674
6,Parti progressiste martiniquais,0.0,0.0,1.0,VTANR5L15V1674
7,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V1674
8,Parti socialiste,0.0,0.0,6.0,VTANR5L15V1674
9,Régions et peuples solidaires,0.0,0.0,2.0,VTANR5L15V1674
10,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V1674
0,La République en Marche,2.0,18.0,0.0,VTANR5L15V1414
1,Les Républicains,0.0,4.0,0.0,VTANR5L15V1414
2,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V1414
3,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1414
4,Parti socialiste,0.0,0.0,2.0,VTANR5L15V1414
5,Régions et peuples solidaires,0.0,1.0,0.0,VTANR5L15V1414
6,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V1414
0,La République en Marche,0.0,29.0,0.0,VTANR5L15V1868
1,Les Républicains,4.0,0.0,2.0,VTANR5L15V1868
2,Mouvement Démocrate,0.0,2.0,1.0,VTANR5L15V1868
3,Non rattachée,0.0,1.0,0.0,VTANR5L15V1868
4,Parti socialiste,2.0,0.0,0.0,VTANR5L15V1868
5,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1868
6,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V1868
0,Debout la France,0.0,0.0,1.0,VTANR5L15V1433
1,La France Insoumise,0.0,2.0,0.0,VTANR5L15V1433
2,La République en Marche,0.0,54.0,0.0,VTANR5L15V1433
3,Les Républicains,0.0,0.0,19.0,VTANR5L15V1433
4,Mouvement Démocrate,1.0,6.0,0.0,VTANR5L15V1433
5,Non rattaché,0.0,1.0,0.0,VTANR5L15V1433
6,Non rattachée,0.0,1.0,0.0,VTANR5L15V1433
7,Parti communiste français,3.0,0.0,0.0,VTANR5L15V1433
8,Parti socialiste,0.0,2.0,0.0,VTANR5L15V1433
9,Rassemblement national,0.0,0.0,1.0,VTANR5L15V1433
10,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1433
11,Tapura Huiraatira,1.0,0.0,0.0,VTANR5L15V1433
12,"Union des démocrates, radicaux et libéraux",5.0,0.0,0.0,VTANR5L15V1433
0,La France Insoumise,0.0,0.0,2.0,VTANR5L15V1228
1,La République en Marche,0.0,22.0,0.0,VTANR5L15V1228
2,Les Républicains,0.0,0.0,7.0,VTANR5L15V1228
3,Mouvement Démocrate,1.0,2.0,0.0,VTANR5L15V1228
0,Debout la France,1.0,0.0,0.0,VTANR5L15V2515
1,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2515
2,La République en Marche,0.0,49.0,0.0,VTANR5L15V2515
3,Les Républicains,4.0,0.0,2.0,VTANR5L15V2515
4,Mouvement Démocrate,0.0,14.0,0.0,VTANR5L15V2515
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V2515
6,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2515
7,"Union des démocrates, radicaux et libéraux",0.0,2.0,0.0,VTANR5L15V2515
0,Calédonie Ensemble,0.0,2.0,0.0,VTANR5L15V1711
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V1711
2,Debout la France,0.0,1.0,0.0,VTANR5L15V1711
3,La France Insoumise,0.0,17.0,0.0,VTANR5L15V1711
4,La République en Marche,3.0,0.0,261.0,VTANR5L15V1711
5,Les Républicains,0.0,88.0,0.0,VTANR5L15V1711
6,Mouvement Démocrate,1.0,6.0,39.0,VTANR5L15V1711
7,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V1711
8,Non rattachée,0.0,0.0,1.0,VTANR5L15V1711
9,Parti communiste français,0.0,15.0,0.0,VTANR5L15V1711
10,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V1711
11,Parti radical de gauche,0.0,3.0,0.0,VTANR5L15V1711
12,Parti socialiste,0.0,22.0,0.0,VTANR5L15V1711
13,Rassemblement national,0.0,5.0,0.0,VTANR5L15V1711
14,Régions et peuples solidaires,0.0,6.0,0.0,VTANR5L15V1711
15,Tapura Huiraatira,1.0,0.0,0.0,VTANR5L15V1711
16,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,1.0,0.0,VTANR5L15V1711
17,"Union des démocrates, radicaux et libéraux",1.0,16.0,2.0,VTANR5L15V1711
0,Cap sur l'avenir,0.0,1.0,0.0,VTANR5L15V2780
1,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2780
2,La République en Marche,0.0,32.0,0.0,VTANR5L15V2780
3,Les Républicains,0.0,10.0,0.0,VTANR5L15V2780
4,Mouvement Démocrate,0.0,4.0,0.0,VTANR5L15V2780
5,Parti communiste français,0.0,0.0,1.0,VTANR5L15V2780
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2780
0,La France Insoumise,0.0,0.0,5.0,VTANR5L15V2624
1,La République en Marche,0.0,49.0,0.0,VTANR5L15V2624
2,Les Républicains,0.0,0.0,8.0,VTANR5L15V2624
3,Mouvement Démocrate,0.0,7.0,0.0,VTANR5L15V2624
4,Parti communiste français,0.0,0.0,3.0,VTANR5L15V2624
5,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V2624
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2624
0,Debout la France,0.0,0.0,1.0,VTANR5L15V84
1,Europe Écologie Les Verts,0.0,0.0,1.0,VTANR5L15V84
2,La République en Marche,2.0,120.0,10.0,VTANR5L15V84
3,Les Républicains,0.0,0.0,23.0,VTANR5L15V84
4,Mouvement Démocrate,0.0,7.0,14.0,VTANR5L15V84
5,Parti communiste français,0.0,0.0,4.0,VTANR5L15V84
6,Parti socialiste,0.0,0.0,7.0,VTANR5L15V84
7,Rassemblement national,0.0,0.0,2.0,VTANR5L15V84
8,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V84
9,"Union des démocrates, radicaux et libéraux",0.0,1.0,3.0,VTANR5L15V84
0,Calédonie Ensemble,2.0,0.0,0.0,VTANR5L15V272
1,Cap sur l'avenir,0.0,0.0,1.0,VTANR5L15V272
2,Debout la France,0.0,3.0,0.0,VTANR5L15V272
3,Europe Écologie Les Verts,0.0,1.0,0.0,VTANR5L15V272
4,La France Insoumise,0.0,17.0,0.0,VTANR5L15V272
5,La République en Marche,0.0,0.0,264.0,VTANR5L15V272
6,Les Républicains,1.0,84.0,0.0,VTANR5L15V272
7,Mouvement Démocrate,3.0,0.0,44.0,VTANR5L15V272
8,Non déclaré(s),0.0,0.0,1.0,VTANR5L15V272
9,Non rattaché,0.0,0.0,1.0,VTANR5L15V272
10,Non rattachée,0.0,0.0,2.0,VTANR5L15V272
11,Parti communiste français,0.0,13.0,0.0,VTANR5L15V272
12,Parti progressiste martiniquais,0.0,3.0,0.0,VTANR5L15V272
13,Parti radical de gauche,3.0,0.0,0.0,VTANR5L15V272
14,Parti socialiste,0.0,19.0,1.0,VTANR5L15V272
15,Rassemblement national,0.0,5.0,0.0,VTANR5L15V272
16,Régions et peuples solidaires,0.0,5.0,4.0,VTANR5L15V272
17,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V272
18,Tavini Huiraatira No Te Ao Maohi - Front de libération de Polynésie,0.0,1.0,0.0,VTANR5L15V272
19,"Union des démocrates, radicaux et libéraux",12.0,0.0,2.0,VTANR5L15V272
0,La France Insoumise,0.0,0.0,4.0,VTANR5L15V357
1,La République en Marche,3.0,0.0,49.0,VTANR5L15V357
2,Les Républicains,0.0,0.0,5.0,VTANR5L15V357
3,Mouvement Démocrate,0.0,0.0,2.0,VTANR5L15V357
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2883
1,La République en Marche,0.0,27.0,3.0,VTANR5L15V2883
2,Parti communiste français,0.0,0.0,2.0,VTANR5L15V2883
3,Parti radical de gauche,0.0,0.0,1.0,VTANR5L15V2883
4,Parti socialiste,0.0,0.0,4.0,VTANR5L15V2883
5,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2883
6,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V2883
0,Calédonie Ensemble,0.0,0.0,1.0,VTANR5L15V1242
1,La République en Marche,0.0,87.0,0.0,VTANR5L15V1242
2,Les Républicains,0.0,0.0,25.0,VTANR5L15V1242
3,Mouvement Démocrate,0.0,15.0,2.0,VTANR5L15V1242
4,Non rattaché,0.0,1.0,0.0,VTANR5L15V1242
5,Non rattachée,0.0,1.0,0.0,VTANR5L15V1242
6,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1242
7,Parti radical de gauche,0.0,0.0,2.0,VTANR5L15V1242
8,Parti socialiste,0.0,0.0,4.0,VTANR5L15V1242
9,Rassemblement national,0.0,0.0,1.0,VTANR5L15V1242
10,Tapura Huiraatira,0.0,0.0,1.0,VTANR5L15V1242
11,"Union des démocrates, radicaux et libéraux",0.0,0.0,5.0,VTANR5L15V1242
0,Calédonie Ensemble,0.0,0.0,1.0,VTANR5L15V602
1,La France Insoumise,0.0,0.0,2.0,VTANR5L15V602
2,La République en Marche,0.0,38.0,0.0,VTANR5L15V602
3,Les Républicains,0.0,0.0,8.0,VTANR5L15V602
4,Mouvement Démocrate,0.0,0.0,8.0,VTANR5L15V602
5,"Union des démocrates, radicaux et libéraux",0.0,0.0,2.0,VTANR5L15V602
0,La France Insoumise,0.0,2.0,0.0,VTANR5L15V2844
1,La République en Marche,0.0,39.0,3.0,VTANR5L15V2844
2,Les Républicains,0.0,0.0,11.0,VTANR5L15V2844
3,Mouvement Démocrate,0.0,9.0,0.0,VTANR5L15V2844
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V774
1,La République en Marche,0.0,46.0,0.0,VTANR5L15V774
2,Les Républicains,0.0,0.0,2.0,VTANR5L15V774
3,Mouvement Démocrate,0.0,3.0,0.0,VTANR5L15V774
4,Parti communiste français,0.0,0.0,2.0,VTANR5L15V774
5,Parti progressiste martiniquais,1.0,0.0,0.0,VTANR5L15V774
6,Parti socialiste,2.0,0.0,0.0,VTANR5L15V774
7,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V774
0,La France Insoumise,0.0,0.0,3.0,VTANR5L15V2714
1,La République en Marche,0.0,52.0,0.0,VTANR5L15V2714
2,Les Républicains,0.0,6.0,0.0,VTANR5L15V2714
3,Mouvement Démocrate,0.0,5.0,0.0,VTANR5L15V2714
4,Non rattachée,1.0,0.0,0.0,VTANR5L15V2714
5,Parti communiste français,0.0,0.0,6.0,VTANR5L15V2714
6,Parti socialiste,0.0,0.0,2.0,VTANR5L15V2714
7,Rassemblement national,1.0,0.0,0.0,VTANR5L15V2714
8,"Union des démocrates, radicaux et libéraux",0.0,1.0,0.0,VTANR5L15V2714
0,La France Insoumise,0.0,6.0,0.0,VTANR5L15V169
1,La République en Marche,0.0,0.0,50.0,VTANR5L15V169
2,Les Républicains,2.0,0.0,6.0,VTANR5L15V169
3,Mouvement Démocrate,0.0,0.0,7.0,VTANR5L15V169
4,Parti communiste français,0.0,2.0,0.0,VTANR5L15V169
5,Parti progressiste martiniquais,0.0,1.0,0.0,VTANR5L15V169
6,Parti socialiste,0.0,4.0,0.0,VTANR5L15V169
7,Rassemblement national,0.0,2.0,0.0,VTANR5L15V169
8,Régions et peuples solidaires,0.0,2.0,1.0,VTANR5L15V169
9,"Union des démocrates, radicaux et libéraux",0.0,0.0,1.0,VTANR5L15V169
0,La République en Marche,0.0,0.0,40.0,VTANR5L15V1656
1,Les Républicains,0.0,0.0,3.0,VTANR5L15V1656
2,Mouvement Démocrate,0.0,0.0,4.0,VTANR5L15V1656
3,Parti communiste français,0.0,0.0,4.0,VTANR5L15V1656
4,Parti progressiste martiniquais,0.0,0.0,2.0,VTANR5L15V1656
5,Parti socialiste,0.0,0.0,11.0,VTANR5L15V1656
6,Régions et peuples solidaires,0.0,0.0,1.0,VTANR5L15V1656
7,"Union des démocrates, radicaux et libéraux",0.0,0.0,4.0,VTANR5L15V1656
0,La France Insoumise,0.0,3.0,0.0,VTANR5L15V2042
1,La République en Marche,0.0,0.0,94.0,VTANR5L15V2042
2,Les Républicains,10.0,4.0,17.0,VTANR5L15V2042
3,Mouvement Démocrate,0.0,0.0,13.0,VTANR5L15V2042
